,id,tracking_id,function,name,model,in_tokens,out_tokens,elapsed_time,timestamp
0,chatcmpl-08f00774-6970-47e1-8ab4-9367bf80f453,chat:thread1:Micheal,Not Set,GroqAgent,mixtral-8x7b-32768,262,109,0,2024-04-20 19:21:47
1,chatcmpl-2e1b2c8c-5cf4-41dd-b4f5-b6721ef5718b,chat:thread1:Micheal,memory:append,GroqAgent,mixtral-8x7b-32768,202,101,0,2024-04-20 19:21:48
2,chatcmpl-e24de13a-4dfe-4e59-9bb2-f7909b289754,exec_template:reasoning_evaluation:1713640946,template:reasoning_evaluation:partial:reasoning:input_prompt,GroqAgent,mixtral-8x7b-32768,92,124,0,2024-04-20 19:22:35
3,chatcmpl-729f0c67-fa36-43a2-9426-a52deed7339b,exec_template:reasoning_evaluation:1713640946,template:reasoning_evaluation:input_prompt,GroqAgent,mixtral-8x7b-32768,173,109,0,2024-04-20 19:22:36
4,chatcmpl-f8d0daec-5e99-482f-85b3-73e5bc1f8d30,exec_template:reasoning_evaluation:1713640946,template:reasoning_evaluation:partial:evaluation:input_prompt,GroqAgent,mixtral-8x7b-32768,174,81,0,2024-04-20 19:22:36
5,chatcmpl-d5af7fd1-bf48-4413-9f8d-1f54b112405c,exec_template:reasoning_evaluation:1713640946,template:reasoning_evaluation:output_prompt,GroqAgent,mixtral-8x7b-32768,126,57,0,2024-04-20 19:22:36
6,chatcmpl-24a69c37-fd29-43e9-85f8-8ab9f9cee47c,exec_template:reasoning_evaluation:1713641134,template:reasoning_evaluation:partial:reasoning:input_prompt,GroqAgent,mixtral-8x7b-32768,93,223,0,2024-04-20 19:25:34
7,chatcmpl-de785be0-f838-45cc-93d3-6bd7a1267109,exec_template:reasoning_evaluation:1713641134,template:reasoning_evaluation:input_prompt,GroqAgent,mixtral-8x7b-32768,273,114,0,2024-04-20 19:25:35
8,chatcmpl-84b872c6-12b3-493c-8157-e663f98f8ff0,exec_template:reasoning_evaluation:1713641134,template:reasoning_evaluation:partial:evaluation:input_prompt,GroqAgent,mixtral-8x7b-32768,179,79,0,2024-04-20 19:25:35
9,chatcmpl-9ba4842a-ee51-492e-ad63-c975bde08e87,exec_template:reasoning_evaluation:1713641134,template:reasoning_evaluation:output_prompt,GroqAgent,mixtral-8x7b-32768,241,47,0,2024-04-20 19:25:36
10,chatcmpl-074a050f-a9e8-4a46-b6e3-ee0cb039ab65,exec_template:reasoning_evaluation:1713641231,template:reasoning_evaluation:partial:reasoning:input_prompt,GroqAgent,mixtral-8x7b-32768,93,296,0,2024-04-20 19:28:03
